Entity,Code,Year,milexgdp
Russia,RUS,1874,2.6263182
Russia,RUS,1875,3.0621529
Russia,RUS,1876,3.9983141
Russia,RUS,1877,4.814063
Russia,RUS,1878,4.6155787
Russia,RUS,1879,3.60242
Russia,RUS,1880,2.5090883
Russia,RUS,1881,2.6065035
Russia,RUS,1882,2.4879823
Russia,RUS,1883,1.8856244
Russia,RUS,1884,2.0634387
Russia,RUS,1885,2.024543
Russia,RUS,1886,2.2317991
Russia,RUS,1887,1.6985167
Russia,RUS,1888,1.9490414
Russia,RUS,1889,2.2433753
Russia,RUS,1890,2.4904335
Russia,RUS,1891,2.6503596
Russia,RUS,1892,2.4719813
Russia,RUS,1893,1.9361857
Russia,RUS,1894,2.4582875
Russia,RUS,1895,2.6729937
Russia,RUS,1896,2.2873526
Russia,RUS,1897,2.6173165
Russia,RUS,1898,2.467228
Russia,RUS,1899,2.8443077
Russia,RUS,1900,2.792461
Russia,RUS,1901,2.4583604
Russia,RUS,1902,2.6145716
Russia,RUS,1903,2.4801111
Russia,RUS,1904,3.1084557
Russia,RUS,1905,4.7865434
Russia,RUS,1906,3.856586
Russia,RUS,1907,3.216184
Russia,RUS,1908,2.9213853
Russia,RUS,1909,2.9601347
Russia,RUS,1910,3.1085103
Russia,RUS,1911,2.8404834
Russia,RUS,1912,3.2632284
Russia,RUS,1913,4.9007154
Russia,RUS,1914,8.610935
Russia,RUS,1915,18.810425
Russia,RUS,1916,26.102983
Russia,RUS,1917,21.351719
Russia,RUS,1918,8.902331
Russia,RUS,1919,10.076647
Russia,RUS,1920,10.155758
Russia,RUS,1921,14.156378
Russia,RUS,1922,12.361647
Russia,RUS,1923,10.683288
Russia,RUS,1924,10.0779
Russia,RUS,1925,13.915685
Russia,RUS,1926,12.078608
Russia,RUS,1927,12.552253
Russia,RUS,1928,12.839143
