STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,TYPE,Type of patent counting,TECH,Technological domain,PAT,Regional patent office,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2016,,5.234051,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2017,,5.772372,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2018,,4.420977,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2019,,4.012632,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2020,,3.396046,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2021,,3.088422,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2010,,2.431707,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DIFF,Diffusion of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,2011,,2.831336,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2014,,0.6673142,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2015,,0.6728227,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2016,,0.6777567,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2017,,0.62862,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2018,,0.5388883,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2019,,0.6416665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2020,,0.6910179,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2021,,0.6238744,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2010,,0.8090532,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2011,,0.7290257,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,2012,,0.6354001,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,2013,,2.425232,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,2014,,1.025515,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,2015,,2.478894,,A,Normal value,0,Units,2,Two
